"Category of Data","Table","Column","ct_name","code_iaids","meaning","Data Type eADMS","Length eADMS","short_desc","Question_Def","Code meaning","typeofchange","Change_notes"
"eADMS Data","aircraft","acft_category","ct_acft_cat","AIR","Airplane","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","BALL","Balloon","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","BLIM","Blimp","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","GLI","Glider","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","GYRO","Gyrocraft","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","HELI","Helicopter","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","PLFT","Powered-Lift","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","ULTR","Ultralight","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat","UNK","Unknown","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat",,"Powered parachute","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_category","ct_acft_cat",,"Weight shift","char",4,0000000000000000e+00,"Aircraft Category","The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",,,
"eADMS Data","aircraft","acft_expl","ct_expl_fire","BOTH","Ground and In-flight","char",4,0000000000000000e+00,"Aircraft Explosion","Indicate the occurrence of an aircraft explosion.",,,
"eADMS Data","aircraft","acft_expl","ct_expl_fire","GRD","Ground","char",4,0000000000000000e+00,"Aircraft Explosion","Indicate the occurrence of an aircraft explosion.",,,
"eADMS Data","aircraft","acft_expl","ct_expl_fire","IFLT","In-flight","char",4,0000000000000000e+00,"Aircraft Explosion","Indicate the occurrence of an aircraft explosion.",,,
"eADMS Data","aircraft","acft_expl","ct_expl_fire","NONE","None","char",4,0000000000000000e+00,"Aircraft Explosion","Indicate the occurrence of an aircraft explosion.",,,
"eADMS Data","aircraft","acft_expl","ct_expl_fire","UNK","Unknown","char",4,0000000000000000e+00,"Aircraft Explosion","Indicate the occurrence of an aircraft explosion.",,,
"eADMS Data","aircraft","acft_expl","ct_expl_fire","UORG","Unknown Origin","char",4,0000000000000000e+00,"Aircraft Explosion","Indicate the occurrence of an aircraft explosion.",,,
"eADMS Data","aircraft","acft_fire","ct_expl_fire","BOTH","Ground and In-flight","char",4,0000000000000000e+00,"Aircraft Fire","Indicate the occurrence of an aircraft fire.",,,
"eADMS Data","aircraft","acft_fire","ct_expl_fire","GRD","Ground","char",4,0000000000000000e+00,"Aircraft Fire","Indicate the occurrence of an aircraft fire.",,,
"eADMS Data","aircraft","acft_fire","ct_expl_fire","IFLT","In-flight","char",4,0000000000000000e+00,"Aircraft Fire","Indicate the occurrence of an aircraft fire.",,,
"eADMS Data","aircraft","acft_fire","ct_expl_fire","NONE","None","char",4,0000000000000000e+00,"Aircraft Fire","Indicate the occurrence of an aircraft fire.",,,
"eADMS Data","aircraft","acft_fire","ct_expl_fire","UNK","Unknown","char",4,0000000000000000e+00,"Aircraft Fire","Indicate the occurrence of an aircraft fire.",,,
"eADMS Data","aircraft","acft_fire","ct_expl_fire","UORG","Unknown Origin","char",4,0000000000000000e+00,"Aircraft Fire","Indicate the occurrence of an aircraft fire.",,,
"eADMS Data","aircraft","acft_make",,,,"varchar",3,0000000000000000e+01,"Aircraft Manufacturer's Full Name","Name of the manufacturer of the involved aircraft. If the involved aircraft is certified as \"amateur-built,\" include the name of manufacturer of the kit or plans when appropriate.",,,
"eADMS Data","aircraft","acft_missing",,"N","No","char",1,0000000000000000e+00,"Missing Aircraft Indicator","Indicate whether an aircraft is classified and missing.",,,
"eADMS Data","aircraft","acft_missing",,"Y","Yes","char",1,0000000000000000e+00,"Missing Aircraft Indicator","Indicate whether an aircraft is classified and missing.",,,
"eADMS Data","aircraft","acft_model",,,,"varchar",2,0000000000000000e+01,"Aircraft Model","The full alphanumeric aircraft model code, including any applicable series or derivative identifiers. For example, a 200 series Boeing 737 is entered as 737-200.",,,
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","FNFN","Foreign Reg./Foreign Soil","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Includes mishaps outside the U.S. involving aircraft registered outside the U.S. These records are included in the accident database if the Board was asked by the involved country to participate in the investigation.","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","FNUS","Foreign Registered/U.S. Soil","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Includes mishaps involving foreign aircraft that were operating in the U.S. at the time of the incident.","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
"eADMS Data","aircraft","flt_plan_filed","ct_flt_plan_filed","VTP","VFR on top","char",4,0000000000000000e+00,"Type of Flight Plan filed","The type of ATC flight plan filed for the accident flight. This includes plans filed before departure, plans filed enroute, company flight plans, and scheduled routing plans.",,,
"eADMS Data","aircraft","homebuilt",,"N","No","char",3,0000000000000000e+00,"Aircraft is a homebuilt (Y/N).","Indicate whether the involved aircraft was certified with a Special Airworthiness Certificate (FAA Form 8130-7), in the experimental category as an amateur-built aircraft.",,,
"eADMS Data","aircraft","acft_reg_cls","ct_acft_reg_cls","MIL","Military","char",4,0000000000000000e+00,"Aircraft Registration Class","Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.","Includes all U.S. military operations. The Board typically does not investigate mishaps involving military aircraft unless 1 or more civilian aircraft were also involved (i.e., a midair collision between a civil and military aircraft)","FieldNoLongerPopulated","Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
