,ev_city,ev_country,ev_state,latitude,longitude
46,NIGHTMUTE      ,USA,AK,60.4794444,-164.7238889
50,UTICA          ,USA,NY,43.100903,-75.232664
56,Toronto,CA,,43.653226,-79.3831843
92,Sydney,AS,,-33.9720475,151.1443249
116,GRAND JUNCTION ,USA,CO,39.0638705,-108.5506486
120,JUNEAU         ,USA,AK,58.3019444,-134.4197222
129,YUBA CITY      ,USA,CA,39.1404477,-121.6169108
149,Sidney,USA,MT,47.7166836,-104.1563253
153,Lake in the Woods,CA,ON,49.6476751,-94.55534229999999
163,KEMMERER       ,USA,WY,41.792447,-110.5376692
187,Anaco,VE,,9.429229699999999,-64.4674203
257,UMIAT          ,USA,AK,69.367233,-152.143295
296,LA FORTUNA ,PA,,8.7441806,-82.2498416
298,Bologna,IT,,44.494887,11.3426163
325,Madinah,SA,,24.5246542,39.5691841
402,ATLANTA        ,USA,GA,33.7489954,-84.3879824
435,HINCHINBROOK   ,USA,AK,60.4159619,-146.584975
442,SOUTH BEND     ,USA,IN,41.6763545,-86.25198979999999
472,Arnos Vale,VC,,13.1437775,-61.2087871
485,Portreath,UK,,50.260642,-5.288665
489,AMERICAN RIVER ,USA,AK,57.6392339,-152.5190027
498,Raleigh,USA,NC,35.7795897,-78.6381787
499,BENSON         ,USA,AZ,31.9678611,-110.2945174
524,VIEKODA BAY    ,USA,AK,57.9247222,-153.2580556
530,JAGO RIVER     ,USA,AK,69.0836838,-143.5736342
540,TANZANIA       ,SU,,,
552,MIAMI          ,USA,FL,25.7616798,-80.1917902
564,Guatemala City,GT,,14.6349149,-90.5068824
658,VALLE          ,USA,AZ,35.657139,-112.203712
686,ORMOND BEACH   ,USA,FL,29.2858129,-81.0558894
710,"Steep, Hampshire, UK",UK,,51.0227315,-0.9421156
760,MANLEY HOT SPRG,USA,AK,65.0308333,-150.74
769,EAGLE          ,USA,AK,64.78805559999999,-141.2
800,Elkins Creek BC,CA,,51.512778,-123.804444
830,Makarakskiy,RS,,,
844,SHANNON,EI,,52.7181264,-8.8745256
899,MILWAUKEE      ,USA,WI,43.0389025,-87.9064736
911,Egelsbach,GE,,,
921,Bangkok,TH,,13.7563309,100.5017651
963,CLEVELAND      ,USA,OH,41.49932,-81.6943605
965,HAMILTON       ,CA,,43.25002080000001,-79.8660914
995,COMORSO ISLANDS,ET,,30.0225,31.2261111
1000,Shanghai,CH,,34.0848366,115.3243971
1024,Denham,UK,,51.56958299999999,-0.493857
1071,New York City,USA,NY,40.7127837,-74.0059413
1084,WAINWRIGHT     ,USA,AK,70.63694439999999,-160.0383333
1101,PALM SPRINGS   ,USA,CA,33.8302961,-116.5452921
1112,ALIQUIPPA      ,USA,PA,40.615537,-80.26218519999999
1129,ADWA  ,ET,,14.1636465,38.8937176
1141,JUNEAU         ,USA,AK,58.3019444,-134.4197222
1172,GERONA SPAIN   ,SP,,41.9794005,2.8214264
1176,HOLLAND        ,NL,,-30.2317563,29.7498426
1190,TALKEETNA      ,USA,AK,62.32090460000001,-150.1066221
1211,DIJON,FR,,47.322047,5.04148
1232,CHINLE         ,USA,AZ,36.1544483,-109.5526072
1237,PORT LIONS     ,USA,AK,57.8675,-152.8822222
1274,St. George,USA,UT,37.0965278,-113.5684164
1296,W CAMERON BLK  ,,GM,,
1304,JUNEAU         ,USA,AK,58.3019444,-134.4197222
1323,PHILADELPHIA   ,USA,PA,39.9525839,-75.1652215
1350,Kiim,EC,,-3.7844325,-78.90442379999999
1359,ATMAUTLUAK     ,USA,AK,60.8669444,-162.2730556
1403,UNALAKLEET     ,USA,AK,63.87305559999999,-160.7880556
1421,NEAR PORT ALSWO,USA,AK,60.20249999999999,-154.3127778
1424,PEDRO BAY      ,USA,AK,59.7872222,-154.1061111
1425,Kirksville,USA,MO,40.19475389999999,-92.5832496
1436,East Midlands,UK,,52.821632,-1.147234
1466,DENVER         ,USA,CO,39.7392358,-104.990251
1468,VIENNA,AU,,48.23147609999999,16.3569798
1479,CONGO TOWN     ,CF,,5.127894,21.24472
1480,KETCHIKAN      ,USA,AK,55.34222219999999,-131.6461111
1530,Nuevo Michoacan,MX,,19.6960536,-102.5247836
1609,Mexico City,MX,,19.4326077,-99.133208
1619,TAMPICO        ,MX,,22.2331041,-97.861099
1638,Paris,FR,,48.856614,2.3522219
1657,VALENSOL,FR,,43.837064,5.983242
1670,SPOKANE        ,USA,WA,47.6587802,-117.4260466
1676,FAIRBANKS      ,USA,AK,64.8377778,-147.7163889
1707,Paderborn-Lipsd,GE,,51.7189205,8.757509299999999
1782,UGANIK BAY     ,USA,AK,57.80500000000001,-153.5127778
1823,GUADALAJARA    ,MX,,20.6596988,-103.3496092
1845,ATMAUTLUAK     ,USA,AK,60.8669444,-162.2730556
1851,Sazava,EZ,,,
1872,LOS ANGELES    ,USA,CA,34.0522342,-118.2436849
1895,SEATTLE        ,USA,WA,47.6062095,-122.3320708
1912,TEMPLE BAR     ,USA,AZ,36.0228066,-114.3335291
1951,RALEIGH        ,USA,NC,35.7795897,-78.6381787
1952,Quito,EC,,-0.1806532,-78.4678382
1957,EAGLE LAKE     ,USA,TX,29.5896836,-96.3335769
1979,DALLAS         ,USA,TX,32.7766642,-96.79698789999999
1994,YAKUTAT        ,USA,AK,59.54694439999999,-139.7272222
2054,SALINAS        ,USA,CA,36.6777372,-121.6555013
2062,Portland,USA,OR,45.5230622,-122.6764816
2073,ORLA           ,USA,TX,31.8247936,-103.9085393
2121,"Horten, Norway",NO,,59.417084,10.4832128
2130,MT. ZION       ,USA,IL,39.7714252,-88.8742405
2162,MERRILL PASS   ,USA,AK,61.19888889999999,-153.3083332
2182,BOISE          ,USA,ID,43.6187102,-116.2146068
2202,San Juan,USA,PR,36.0110958,-106.0849392
2233,NEAR KALISPELL ,USA,MT,48.1919889,-114.3168131
2252,SKAGWAY        ,USA,AK,59.45833329999999,-135.3138889
2267,EAST HAMPTON   ,USA,NY,40.96343350000001,-72.1848009
2275,ALAGNAK RIVER  ,USA,AK,59.0047222,-156.8602778
2318,TULUKSAK       ,USA,AK,61.10250000000001,-160.9616667
2320,CRIPPLE        ,USA,AK,64.7877898,-148.0647813
2333,SKWENTNA       ,USA,AK,61.923613,-151.1683574
2338,RUTH GLACIER   ,USA,AK,62.765278,-150.628333
2350,PORT GRAHAM    ,USA,AK,59.3513889,-151.8297222
2358,KOLIGANEK      ,USA,AK,59.7286111,-157.2844444
2366,HAILEY         ,USA,ID,43.51962880000001,-114.3153245
2371,TAIPAI,TW,,25.0329694,121.5654177
2374,TULSA          ,USA,OK,36.1539816,-95.99277500000001
2386,La Romana,DR,,18.4338645,-68.9658817
2397,ELIZABETH CITY ,USA,NC,36.2946008,-76.2510461
2403,YAKUTAT        ,USA,AK,59.54694439999999,-139.7272222
2419,Medellin,CO,,6.253040800000001,-75.5645737
2422,CAMP VERDE     ,USA,AZ,34.5636358,-111.8543178
2424,Fort Dodge,USA,IA,42.4974694,-94.16801579999999
2433,KALAUPAPA      ,USA,HI,21.1893014,-156.9818053
2441,CARSON CITY    ,USA,NV,39.1637984,-119.7674034
2455,DETROIT        ,USA,MI,42.331427,-83.0457538
2483,NELSON ISLAND  ,USA,AK,60.5948626,-164.7346773
2489,KODIAK         ,USA,AK,57.79000000000001,-152.4072222
2509,KALTAG         ,USA,AK,64.3272222,-158.7219444
2510,RICE LAKE      ,USA,WI,45.5060682,-91.738225
2522,KALISPELL      ,USA,MT,48.1919889,-114.3168131
2550,Unknown,USA,,42.230537,-83.7466403
2553,DILLINGHAM     ,USA,AK,59.03972219999999,-158.4575
2591,NAGUA          ,DR,,19.3791006,-69.8537844
2612,BETHEL         ,USA,AK,60.7922222,-161.7558333
2638,PENDLETON      ,USA,OR,45.672075,-118.7885967
2642,JACKSONVILLE   ,USA,FL,30.3321838,-81.65565099999999
2653,LACEY TOWNSHIP ,USA,NJ,39.8726184,-74.2951444
2665,MOLONGO        ,AO,,-5.3880057,12.2061624
2682,POTTSTOWN      ,USA,PA,40.2453741,-75.6496302
2689,PUT IN BAY     ,USA,OH,41.6542158,-82.8207429
2692,MILWAUKEE      ,USA,WI,43.0389025,-87.9064736
2766,SALEM          ,USA,VA,37.2934681,-80.05476259999999
2777,Stockerau,AU,,48.3833405,16.2101987
2796,MEXICO CITY    ,MX,,19.4326077,-99.133208
2798,PHOENIX        ,USA,AZ,33.4483771,-112.0740373
2799,NEWBURGH       ,USA,NY,41.5034271,-74.0104178
2841,RIO LUJAN      ,AR,,-34.2800377,-58.8919431
2842,SIOUX CITY     ,USA,IA,42.4999942,-96.40030689999999
2870,MARIQUITA      ,CO,,5.199504999999999,-74.88683499999999
2871,SCHOFIELD      ,USA,WI,44.9096907,-89.6045659
2888,Reichelheim,GE,,,
2893,ATLANTA        ,USA,GA,33.7489954,-84.3879824
2895,10MI. NW WALSEN,USA,CO,41.791326,-86.732288
2923,TIGVARIAK ISL. ,USA,AK,70.2222556,-147.2176237
2937,VENICE         ,USA,LA,33.9850469,-118.4694832
2947,FISHERS ISLAND ,USA,NY,41.2554038,-72.033534
2960,Trefoil Island,AS,,-40.6314887,144.6892948
2965,BOSTON         ,USA,MA,42.3600825,-71.0588801
2966,PACIFIC OCEAN  ,,PO,22.2335141,114.1695457
2976,SAN MATEO      ,MX,,25.5277777,-100.0963888
2985,HICKMAN        ,USA,KY,36.5711721,-89.18617909999999
2990,Ontario,CA,,34.0633443,-117.6508876
2994,YAKUTAT        ,USA,AK,59.54694439999999,-139.7272222
3010,KEY WEST,USA,FL,24.5550593,-81.7799871
3047,HOUSTON        ,USA,TX,29.7604267,-95.3698028
3060,Montevideo,UY,,-34.9011127,-56.16453139999999
3085,Seattle,USA,WA,47.6062095,-122.3320708
3090,Irving,USA,TX,32.8140177,-96.9488945
3103,CORDOVA        ,USA,AK,60.5424087,-145.7525414
3110,Kumealon Inlet,CA,,36.778261,-119.4179324
3162,ANAKTUVUK PASS ,USA,AK,68.1433333,-151.7358333
3170,Uxbridge,CA,,44.10940280000001,-79.12049979999999
3202,Tourrettes-sur-Loup,FR,,43.715688,7.058927
3248,MILWAUKEE      ,USA,WI,43.0389025,-87.9064736
3294,Yogyakarta,ID,,-7.7955798,110.3694896
3333,AUGUSTA        ,USA,GA,33.4734978,-82.0105148
3379,SANTA ROSA     ,USA,CA,38.440429,-122.7140548
3400,SAN PAULO      ,BR,,-23.5505199,-46.63330939999999
3415,Boston,USA,MA,42.3600825,-71.0588801
3425,BETTLES        ,USA,AK,66.9188889,-151.5161111
3443,ANACORTES      ,USA,WA,48.51260449999999,-122.6126718
3460,Menorca,SP,,-23.9868771,-46.2027106
3468,AUBENAS,FR,,44.620909,4.389863
3474,CLE ELUM       ,USA,WA,47.1953976,-120.939249
3545,Madeira Islands,PO,,32.76070740000001,-16.9594723
3549,LITTLE ROCK    ,USA,AR,34.7464809,-92.28959479999999
3550,SPARKS         ,USA,NV,39.5349112,-119.7526886
3560,Sukabumi,ID,,-6.9277361,106.9299579
3577,Kelowna,CA,,49.8879519,-119.4960106
3589,MORRISVILLE    ,USA,NC,35.823483,-78.8255621
3623,ELKRIDGE       ,USA,MD,39.21260729999999,-76.71358140000001
3625,MCALESTER      ,USA,OK,34.9334298,-95.76971309999999
3636,Norfolk,UK,,52.6139686,0.8864021
3637,McClure Strait,CA,,74.7,-117
3648,GULF OF MEXICO ,,GM,,
3668,WILMINGTON     ,USA,NC,34.2257255,-77.9447102
3681,Frankfurt,GE,,38.1305349,-84.848732
3711,BINGHAMTON     ,USA,NY,42.09868669999999,-75.91797380000001
