,ev_city,ev_country,ev_state,latitude,longitude
46,NIGHTMUTE      ,USA,AK,,
50,UTICA          ,USA,NY,,
56,Toronto,CA,,,
92,Sydney,AS,,,
116,GRAND JUNCTION ,USA,CO,,
120,JUNEAU         ,USA,AK,,
129,YUBA CITY      ,USA,CA,,
149,Sidney,USA,MT,,
153,Lake in the Woods,CA,ON,,
163,KEMMERER       ,USA,WY,,
187,Anaco,VE,,,
257,UMIAT          ,USA,AK,,
296,LA FORTUNA ,PA,,,
298,Bologna,IT,,,
325,Madinah,SA,,,
402,ATLANTA        ,USA,GA,,
435,HINCHINBROOK   ,USA,AK,,
442,SOUTH BEND     ,USA,IN,,
472,Arnos Vale,VC,,,
485,Portreath,UK,,,
489,AMERICAN RIVER ,USA,AK,,
498,Raleigh,USA,NC,,
499,BENSON         ,USA,AZ,,
524,VIEKODA BAY    ,USA,AK,,
530,JAGO RIVER     ,USA,AK,,
540,TANZANIA       ,SU,,,
552,MIAMI          ,USA,FL,,
564,Guatemala City,GT,,,
658,VALLE          ,USA,AZ,,
686,ORMOND BEACH   ,USA,FL,,
710,"Steep, Hampshire, UK",UK,,,
760,MANLEY HOT SPRG,USA,AK,,
769,EAGLE          ,USA,AK,,
800,Elkins Creek BC,CA,,,
830,Makarakskiy,RS,,,
844,SHANNON,EI,,,
899,MILWAUKEE      ,USA,WI,,
911,Egelsbach,GE,,,
921,Bangkok,TH,,,1025219E
963,CLEVELAND      ,USA,OH,,
965,HAMILTON       ,CA,,,
995,COMORSO ISLANDS,ET,,,
1000,Shanghai,CH,,,
1024,Denham,UK,,,
1071,New York City,USA,NY,,
1084,WAINWRIGHT     ,USA,AK,,
1101,PALM SPRINGS   ,USA,CA,,
1112,ALIQUIPPA      ,USA,PA,,
1129,ADWA  ,ET,,,
1141,JUNEAU         ,USA,AK,,
1172,GERONA SPAIN   ,SP,,,
1176,HOLLAND        ,NL,,,
1190,TALKEETNA      ,USA,AK,,
1211,DIJON,FR,,,
1232,CHINLE         ,USA,AZ,,
1237,PORT LIONS     ,USA,AK,,
1274,St. George,USA,UT,,
1296,W CAMERON BLK  ,,GM,,
1304,JUNEAU         ,USA,AK,,
1323,PHILADELPHIA   ,USA,PA,,
1350,Kiim,EC,,,
1359,ATMAUTLUAK     ,USA,AK,,
1403,UNALAKLEET     ,USA,AK,,
1421,NEAR PORT ALSWO,USA,AK,,
1424,PEDRO BAY      ,USA,AK,,
1425,Kirksville,USA,MO,,
1436,East Midlands,UK,,,
1466,DENVER         ,USA,CO,,
1468,VIENNA,AU,,,
1479,CONGO TOWN     ,CF,,,
1480,KETCHIKAN      ,USA,AK,,
1530,Nuevo Michoacan,MX,,,
1609,Mexico City,MX,,,
1619,TAMPICO        ,MX,,,
1638,Paris,FR,,,
1657,VALENSOL,FR,,,
1670,SPOKANE        ,USA,WA,,
1676,FAIRBANKS      ,USA,AK,,
1707,Paderborn-Lipsd,GE,,,
1782,UGANIK BAY     ,USA,AK,,
1823,GUADALAJARA    ,MX,,,
1845,ATMAUTLUAK     ,USA,AK,,
1851,Sazava,EZ,,,
1872,LOS ANGELES    ,USA,CA,,
1895,SEATTLE        ,USA,WA,,
1912,TEMPLE BAR     ,USA,AZ,,
1951,RALEIGH        ,USA,NC,,
1952,Quito,EC,,,
1957,EAGLE LAKE     ,USA,TX,,
1979,DALLAS         ,USA,TX,,
1994,YAKUTAT        ,USA,AK,,
2054,SALINAS        ,USA,CA,,
2062,Portland,USA,OR,,
2073,ORLA           ,USA,TX,,
2121,"Horten, Norway",NO,,,
2130,MT. ZION       ,USA,IL,,
2162,MERRILL PASS   ,USA,AK,,
2182,BOISE          ,USA,ID,,
2202,San Juan,USA,PR,,
2233,NEAR KALISPELL ,USA,MT,,
2252,SKAGWAY        ,USA,AK,,
2267,EAST HAMPTON   ,USA,NY,,
2275,ALAGNAK RIVER  ,USA,AK,,
2318,TULUKSAK       ,USA,AK,,
2320,CRIPPLE        ,USA,AK,,
2333,SKWENTNA       ,USA,AK,,
2338,RUTH GLACIER   ,USA,AK,,
2350,PORT GRAHAM    ,USA,AK,,
2358,KOLIGANEK      ,USA,AK,,
2366,HAILEY         ,USA,ID,,
2371,TAIPAI,TW,,,
2374,TULSA          ,USA,OK,,
2386,La Romana,DR,,,
2397,ELIZABETH CITY ,USA,NC,,
2403,YAKUTAT        ,USA,AK,,
2419,Medellin,CO,,,
2422,CAMP VERDE     ,USA,AZ,,
2424,Fort Dodge,USA,IA,,
2433,KALAUPAPA      ,USA,HI,,
2441,CARSON CITY    ,USA,NV,,
2455,DETROIT        ,USA,MI,,
2483,NELSON ISLAND  ,USA,AK,,
2489,KODIAK         ,USA,AK,,
2509,KALTAG         ,USA,AK,,
2510,RICE LAKE      ,USA,WI,,
2522,KALISPELL      ,USA,MT,,
2550,Unknown,USA,,,
2553,DILLINGHAM     ,USA,AK,,
2591,NAGUA          ,DR,,,
2612,BETHEL         ,USA,AK,,
2638,PENDLETON      ,USA,OR,,
2642,JACKSONVILLE   ,USA,FL,,
2653,LACEY TOWNSHIP ,USA,NJ,,
2665,MOLONGO        ,AO,,,
2682,POTTSTOWN      ,USA,PA,,
2689,PUT IN BAY     ,USA,OH,,
2692,MILWAUKEE      ,USA,WI,,
2766,SALEM          ,USA,VA,,
2777,Stockerau,AU,,,
2796,MEXICO CITY    ,MX,,,
2798,PHOENIX        ,USA,AZ,,
2799,NEWBURGH       ,USA,NY,,
2841,RIO LUJAN      ,AR,,,
2842,SIOUX CITY     ,USA,IA,,
2870,MARIQUITA      ,CO,,,
2871,SCHOFIELD      ,USA,WI,,
2888,Reichelheim,GE,,,
2893,ATLANTA        ,USA,GA,,
2895,10MI. NW WALSEN,USA,CO,,
2923,TIGVARIAK ISL. ,USA,AK,,
2937,VENICE         ,USA,LA,,
2947,FISHERS ISLAND ,USA,NY,,
2960,Trefoil Island,AS,,,
2965,BOSTON         ,USA,MA,,
2966,PACIFIC OCEAN  ,,PO,,
2976,SAN MATEO      ,MX,,,
2985,HICKMAN        ,USA,KY,,
2990,Ontario,CA,,,
2994,YAKUTAT        ,USA,AK,,
3010,KEY WEST,USA,FL,,
3047,HOUSTON        ,USA,TX,,
3060,Montevideo,UY,,,
3085,Seattle,USA,WA,,
3090,Irving,USA,TX,,
3103,CORDOVA        ,USA,AK,,
3110,Kumealon Inlet,CA,,,
3162,ANAKTUVUK PASS ,USA,AK,,
3170,Uxbridge,CA,,,
3202,Tourrettes-sur-Loup,FR,,,
3248,MILWAUKEE      ,USA,WI,,
3294,Yogyakarta,ID,,,
3333,AUGUSTA        ,USA,GA,,
3379,SANTA ROSA     ,USA,CA,,
3400,SAN PAULO      ,BR,,,
3415,Boston,USA,MA,,
3425,BETTLES        ,USA,AK,,
3443,ANACORTES      ,USA,WA,,
3460,Menorca,SP,,,
3468,AUBENAS,FR,,,
3474,CLE ELUM       ,USA,WA,,
3545,Madeira Islands,PO,,,
3549,LITTLE ROCK    ,USA,AR,,
3550,SPARKS         ,USA,NV,,
3560,Sukabumi,ID,,,
3577,Kelowna,CA,,,
3589,MORRISVILLE    ,USA,NC,,
3623,ELKRIDGE       ,USA,MD,,
3625,MCALESTER      ,USA,OK,,
3636,Norfolk,UK,,,
3637,McClure Strait,CA,,,
3648,GULF OF MEXICO ,,GM,,
3668,WILMINGTON     ,USA,NC,,
3681,Frankfurt,GE,,,
3711,BINGHAMTON     ,USA,NY,,
3717,COLO SPRINGS   ,USA,CO,,
3793,ORLANDO        ,USA,FL,,
3800,Rendsburg-Schac,GE,,,
3818,KAFOUTINE,SG,,,
3825,QUINHAGAK      ,USA,AK,,
3841,COEUR D'ALENE  ,USA,ID,,
3843,MAUNALOA       ,USA,HI,,
3847,int'l waters,,,,
3851,COMOX LAKE     ,CA,,,
3869,BRADLEY LAKE   ,USA,AK,,
3875,MONROE         ,USA,LA,,
3921,Lake Vossemeer,NL,,,
